N,Processes,Time_sec
200,1,0.0040096
200,2,0.0020601
200,4,0.001678
200,8,0.0008498
200,16,0.0008339
400,1,0.0375259
400,2,0.0201452
400,4,0.0101251
400,8,0.0104643
400,16,0.0084702
800,1,0.320686
800,2,0.187799
800,4,0.0931804
800,8,0.090324
800,16,0.0900376
1200,1,1.46786
1200,2,0.956641
1200,4,0.479172
1200,8,0.380584
1200,16,0.339705
1600,1,5.12839
1600,2,2.9287
1600,4,1.85012
1600,8,1.39525
1600,16,1.05887
2000,1,10.6897
2000,2,5.68539
2000,4,3.0665
2000,8,2.06338
2000,16,1.68302
