N,Threads,Time
200,1,0.0070034
200,2,0.0030385
200,4,0.0019931
200,8,0.0016826
200,16,0.0010696
400,1,0.0404434
400,2,0.0202243
400,4,0.0121454
400,8,0.0083635
400,16,0.0061481
800,1,0.331641
800,2,0.167128
800,4,0.0891008
800,8,0.0580813
800,16,0.0463949
1200,1,1.23126
1200,2,0.603515
1200,4,0.305532
1200,8,0.166879
1200,16,0.151981
1600,1,5.70572
1600,2,3.20285
1600,4,1.56324
1600,8,0.842711
1600,16,0.567041
2000,1,26.6801
2000,2,10.6692
2000,4,5.58296
2000,8,3.47915
2000,16,2.27563
