N,BlockX,BlockY,GridX,GridY,KernelTimeMs
200,8,8,25,25,0.2157
200,16,16,13,13,0.0938
200,32,8,7,25,0.1114
200,8,32,25,7,0.0993
200,32,16,7,13,0.1119
400,8,8,50,50,0.6741
400,16,16,25,25,0.6806
400,32,8,13,50,0.7139
400,8,32,50,13,0.6727
400,32,16,13,25,0.7148
800,8,8,100,100,5.3452
800,16,16,50,50,5.6259
800,32,8,25,100,5.6714
800,8,32,100,25,5.7563
800,32,16,25,50,5.2699
1200,8,8,150,150,18.0040
1200,16,16,75,75,18.9380
1200,32,8,38,150,17.9676
1200,8,32,150,38,19.1762
1200,32,16,38,75,19.1851
1600,8,8,200,200,257.0449
1600,16,16,100,100,44.8124
1600,32,8,50,200,44.2093
1600,8,32,200,50,43.5363
1600,32,16,50,100,34.9777
2000,8,8,250,250,220.9198
2000,16,16,125,125,83.2819
2000,32,8,63,250,68.6629
2000,8,32,250,63,66.2859
2000,32,16,63,125,65.8519
